Index,Real2,Predict2
0,1.46993,
1,1.12748,
2,0.79938,
3,0.48447,
4,0.18286,
5,-0.10347,
6,-0.37105,
7,-0.61583,
8,-0.83242,
9,-1.00835,
10,-1.09731,
11,-0.97939,
12,-0.89606,
13,-0.85076,
14,-0.79799,
15,-0.693,
16,-0.52287,
17,-0.29464,
18,-0.04307,
19,0.1602,
20,0.24556,
21,0.1874,
22,0.0139,
23,-0.20289,
24,-0.39611,
25,-0.52643,-0.18972665071487427
26,-0.58381,-0.4289564788341522
27,-0.58629,-0.5113602876663208
28,-0.55209,-0.5374371409416199
29,-0.5276,-0.47132909297943115
30,-0.57228,-0.7633960247039795
31,-0.7097,-0.9206875562667847
32,-0.93996,-0.9276992678642273
33,-1.21416,-1.2093749046325684
34,-1.46751,-1.4414281845092773
35,-1.65266,-1.651355266571045
36,-1.76853,-1.7633165121078491
37,-1.84902,-1.7499809265136719
38,-1.91911,-1.8983536958694458
39,-1.99908,-1.9472402334213257
40,-2.0892,-2.147636651992798
41,-2.15781,-2.1655871868133545
42,-2.17784,-2.3348917961120605
43,-2.1449,-2.1886754035949707
44,-2.03332,-2.0972471237182617
45,-1.825,-1.8044660091400146
46,-1.53361,-1.5355987548828125
47,-1.20511,-1.2402448654174805
48,-0.89967,-0.7857027053833008
49,-0.65165,-0.8154879808425903
50,-0.47416,-0.2690564692020416
51,-0.35569,-0.6714739799499512
52,-0.32542,-0.33142662048339844
53,-0.36421,0.17356711626052856
54,-0.39135,-0.3524249196052551
55,-0.3105,-0.4392412602901459
56,-0.07778,-0.31402090191841125
57,0.22066,-0.09802422672510147
58,0.47576,0.3054856061935425
59,0.58902,0.9530152678489685
60,0.51473,0.32673364877700806
61,0.3093,0.2313363403081894
62,0.09849,0.01284845732152462
63,-0.01861,-0.17882998287677765
64,-0.0033,-0.18842969834804535
65,0.11036,0.5867419242858887
66,0.23315,0.17117369174957275
67,0.27436,0.36462119221687317
68,0.14295,0.3875328600406647
69,-0.18333,-0.23060700297355652
70,-0.59985,-0.8114070296287537
71,-0.92748,-1.0638315677642822
72,-1.04821,-1.2149789333343506
73,-0.95821,-1.2046935558319092
74,-0.75953,-0.6872164607048035
75,-0.583,-0.7898769974708557
76,-0.49502,-0.5712884664535522
77,-0.52322,-0.7046655416488647
78,-0.62577,-0.6243062019348145
79,-0.71909,-0.7545042634010315
80,-0.74282,-0.6580284833908081
81,-0.67439,-0.824904203414917
82,-0.52731,-0.5064374804496765
83,-0.35426,-0.11067363619804382
84,-0.20716,-0.19628289341926575
85,-0.11194,-0.10791530460119247
86,-0.08814,-0.03161647170782089
87,-0.1113,0.21748952567577362
88,-0.14976,-0.5268856287002563
89,-0.19143,-0.3250555992126465
90,-0.23396,-0.4069172143936157
91,-0.26744,-0.3359127342700958
92,-0.27937,-0.25503864884376526
93,-0.2476,-0.0693042054772377
94,-0.16824,-0.44951146841049194
95,-0.07018,-0.21226055920124054
96,0.0179,-0.10644872486591339
97,0.06772,-0.2200835794210434
98,0.05825,0.32049375772476196
99,-0.02258,0.15217061340808868
100,-0.13607,-0.33838939666748047
101,-0.23603,-0.18561066687107086
102,-0.29972,-0.2859595715999603
103,-0.35544,-0.3808088004589081
104,-0.46697,-0.42811843752861023
105,-0.69086,-0.7684742212295532
106,-1.04162,-1.0447726249694824
107,-1.48864,-1.3375604152679443
108,-1.96213,-1.8408466577529907
109,-2.3878,-2.2850594520568848
110,-2.74838,-2.7056140899658203
111,-3.03615,-2.81550669670105
112,-3.27508,-2.8755390644073486
113,-3.50542,-3.1691091060638428
114,-3.74487,-3.861759901046753
115,-3.98101,-3.0704729557037354
116,-4.18532,-3.7619524002075195
117,-4.32061,-3.8098697662353516
118,-4.34963,-4.7809529304504395
119,-4.26161,-3.5552163124084473
120,-4.05706,-4.234839916229248
121,-3.75228,-4.149255752563477
122,-3.37306,-3.148881196975708
123,-2.95745,-2.9906303882598877
124,-2.53619,-2.597198247909546
125,-2.12763,-2.1433968544006348
126,-1.76771,-1.7520835399627686
127,-1.50032,-1.4639912843704224
128,-1.32577,-1.2963123321533203
129,-1.20407,-1.145348072052002
130,-1.12867,-1.032472848892212
131,-1.08212,-1.2026112079620361
132,-1.04521,-1.080060362815857
133,-1.03992,-1.0809699296951294
134,-1.11615,-1.0311651229858398
135,-1.29511,-1.320195198059082
136,-1.54877,-1.532441258430481
137,-1.81909,-1.8642687797546387
138,-2.03132,-2.114698886871338
139,-2.10552,-2.073188066482544
140,-2.00769,-1.9735865592956543
141,-1.76206,-1.8110339641571045
142,-1.44361,-1.3456453084945679
143,-1.13947,-1.1250053644180298
144,-0.96585,-1.0717153549194336
145,-0.97641,-0.9426300525665283
146,-1.10898,-1.061880111694336
147,-1.26996,-1.2904328107833862
148,-1.3863,-1.346083402633667
149,-1.45585,-1.3930922746658325
150,-1.5225,-1.4310720367574696
151,-1.6659,-1.3906738422155385
152,-1.95723,-1.3044988433933262
153,-2.40785,-1.3302936927795415
154,-2.94622,-1.3579842020535473
155,-3.46117,-1.5259476461863521
156,-3.8487,-1.731445329533816
157,-4.05734,-1.874233439112902
158,-4.09257,-2.10146825375557
159,-3.96275,-2.0560893125844006
160,-3.70929,-2.1950413557958606
161,-3.40461,-2.2454100622892383
162,-3.11788,-2.216437511122227
163,-2.86037,-2.285684076366425
164,-2.60913,-2.303926811008454
165,-2.35546,-2.4136997402966025
166,-2.11696,-2.4594933679080015
167,-1.93121,-2.6202305842983726
168,-1.7919,-2.592981817543507
169,-1.68564,-2.4223720807695392
