Index,Real31,Predict31
0,-1.20133,
1,-1.22694,
2,-1.25375,
3,-1.28086,
4,-1.30748,
5,-1.33312,
6,-1.35748,
7,-1.38055,
8,-1.40259,
9,-1.42414,
10,-1.44615,
11,-1.47,
12,-1.49747,
13,-1.53105,
14,-1.57439,
15,-1.63285,
16,-1.71429,
17,-1.82097,
18,-1.90333,
19,-1.97653,
20,-2.04332,
21,-2.10576,
22,-2.164,
23,-2.21815,
24,-2.26964,
25,-2.321,-2.3802359104156494
26,-2.3744,-2.359848976135254
27,-2.43103,-2.4855310916900635
28,-2.49135,-2.5544445514678955
29,-2.55821,-2.599865198135376
30,-2.63275,-2.653425693511963
31,-2.70768,-2.6182985305786133
32,-2.77401,-2.735424757003784
33,-2.82452,-2.8173470497131348
34,-2.85153,-2.8692121505737305
35,-2.84943,-2.848825454711914
36,-2.81669,-2.654419422149658
37,-2.75405,-2.6240031719207764
38,-2.66354,-2.6026339530944824
39,-2.54744,-2.5409772396087646
40,-2.40824,-2.4491419792175293
41,-2.25355,-2.2430388927459717
42,-2.08933,-2.0820467472076416
43,-1.91997,-1.930924892425537
44,-1.74648,-1.7716988325119019
45,-1.57014,-1.5417985916137695
46,-1.39649,-1.404302716255188
47,-1.2289,-1.192057728767395
48,-1.0677,-1.133576512336731
49,-0.9113,-0.9790871739387512
50,-0.75653,-0.7999680042266846
51,-0.60197,-0.5649179220199585
52,-0.44914,-0.4949503242969513
53,-0.30221,-0.3050397038459778
54,-0.16735,-0.20617297291755676
55,-0.05079,-0.18574517965316772
56,0.04204,-0.01228887215256691
57,0.10831,0.06950091570615768
58,0.14658,0.13036572933197021
59,0.15508,-0.07736890017986298
60,0.13513,0.18409299850463867
61,0.09185,-0.018271906301379204
62,0.03393,0.09856463223695755
63,-0.02893,-0.06562270224094391
64,-0.09055,-0.31098243594169617
65,-0.14537,-0.18825942277908325
66,-0.19085,-0.3000808656215668
67,-0.22841,-0.3343718945980072
68,-0.26097,-0.3511705696582794
69,-0.29176,-0.37237298488616943
70,-0.32194,-0.2952975332736969
71,-0.34897,-0.36476925015449524
72,-0.3679,-0.29347845911979675
73,-0.37266,-0.4382832646369934
74,-0.35991,-0.4652993977069855
75,-0.33207,-0.31270915269851685
76,-0.29527,-0.37006914615631104
77,-0.2587,-0.3484150767326355
78,-0.22746,-0.26745861768722534
79,-0.20038,-0.35211774706840515
80,-0.17287,-0.1743609458208084
81,-0.13685,-0.24426507949829102
82,-0.08899,-0.2093166708946228
83,-0.02975,-0.018454594537615776
84,0.03898,-0.02054637484252453
85,0.11333,0.11505647003650665
86,0.18597,0.1914462000131607
87,0.24814,0.3375558853149414
88,0.29435,0.29585960507392883
89,0.32599,0.4123937487602234
90,0.34612,0.303243488073349
91,0.35776,0.5052547454833984
92,0.36459,0.4360727369785309
