Index,Real23,Predict23
0,0.75058,
1,0.69224,
2,0.63694,
3,0.58441,
4,0.53447,
5,0.48685,
6,0.44115,
7,0.39691,
8,0.3536,
9,0.31076,
10,0.26794,
11,0.22476,
12,0.18106,
13,0.13703,
14,0.09394,
15,0.05477,
16,0.02625,
17,0.01966,
18,-0.00827,
19,-0.05176,
20,-0.10742,
21,-0.17324,
22,-0.24874,
23,-0.33107,
24,-0.41521,
25,-0.4956,-0.5689564943313599
26,-0.56768,-0.7792215347290039
27,-0.62865,-0.7736057043075562
28,-0.67556,-0.7790675163269043
29,-0.70544,-0.6042333841323853
30,-0.7154,-0.611487090587616
31,-0.70828,-0.7425314784049988
32,-0.68745,-0.7679728865623474
33,-0.65642,-0.546779215335846
34,-0.62113,-0.40294599533081055
35,-0.59195,-0.6148992776870728
36,-0.57466,-0.6166131496429443
37,-0.57006,-0.6352092027664185
38,-0.57154,-0.4560711085796356
39,-0.56358,-0.5095037221908569
40,-0.53054,-0.5377680063247681
41,-0.46221,-0.42974457144737244
42,-0.36031,-0.30022308230400085
43,-0.23906,-0.26412636041641235
44,-0.12012,-0.16572898626327515
45,-0.02939,0.07476576417684555
46,0.0144,0.039557717740535736
47,0.0101,0.04069681465625763
48,-0.03313,-0.05238812044262886
49,-0.10292,-0.015207155607640743
50,-0.18175,-0.20401562750339508
51,-0.25704,-0.1803530752658844
52,-0.31952,-0.27924251556396484
53,-0.36106,-0.32821720838546753
54,-0.37593,-0.45793598890304565
55,-0.36271,-0.31550949811935425
56,-0.32305,-0.38309553265571594
57,-0.26002,-0.2793738842010498
58,-0.18018,-0.17336490750312805
59,-0.09053,-0.05886366590857506
60,0.00717,0.06088048964738846
61,0.1136,0.0910196378827095
62,0.23311,0.22075366973876953
63,0.36678,0.37821996212005615
64,0.51035,0.5154305696487427
65,0.65873,0.6220448017120361
66,0.81029,0.7906003594398499
67,0.96619,0.949822187423706
68,1.12934,1.146758794784546
69,1.29389,1.3872097730636597
70,1.44884,1.180221438407898
71,1.58803,1.5950045585632324
72,1.70671,1.5668858289718628
73,1.80208,1.8839681148529053
74,1.87128,1.932783842086792
75,1.91399,2.1259520053863525
76,1.93371,2.0330593585968018
77,1.94018,1.8109946250915527
78,1.94749,1.9169278144836426
79,1.96407,1.7002665996551514
80,1.98491,2.2323272228240967
81,2.00216,2.1768059730529785
82,2.00559,1.8979918956756592
83,1.98481,1.7777823209762573
84,1.9344,1.7374770641326904
85,1.85205,1.8605624437332153
86,1.7391,1.7404706478118896
87,1.60172,1.4711592197418213
88,1.45078,1.3067748546600342
89,1.30057,1.2741385698318481
90,1.16953,1.1227936744689941
91,1.07251,0.9375873804092407
92,1.0172,0.9683427214622498
93,1.00075,0.765500009059906
94,1.01175,0.9869940280914307
95,1.03461,1.0736461877822876
96,1.06082,0.9106717109680176
97,1.08948,1.0776304006576538
98,1.12118,1.0995781421661377
99,1.15877,1.2230279445648193
100,1.20768,1.1038479804992676
101,1.271,1.3674565553665161
102,1.34914,1.3316177129745483
103,1.43712,1.4080673456192017
104,1.52397,1.393176794052124
105,1.60458,1.6143057346343994
106,1.67802,1.7099156379699707
107,1.74251,1.5800220966339111
108,1.79933,1.8265421390533447
109,1.84917,1.7819902896881104
110,1.89089,1.8318294286727905
111,1.92058,2.157595634460449
112,1.93529,1.6205248832702637
113,1.93114,1.7555404901504517
114,1.90326,1.7837380170822144
115,1.84651,1.6414854526519775
116,1.7574,1.6644097566604614
117,1.63527,1.6990444660186768
118,1.48461,1.3696640729904175
119,1.31541,1.1771365404129028
120,1.13865,1.2319141626358032
121,0.96228,1.0248790979385376
122,0.79135,0.7774861454963684
123,0.62841,0.6728755831718445
124,0.47572,0.5127734541893005
125,0.33324,0.29554417729377747
126,0.19957,0.17735348641872406
127,0.07718,0.09137879312038422
128,-0.02976,-0.01786518283188343
129,-0.11982,-0.12232880294322968
130,-0.19137,-0.23015180230140686
131,-0.24297,-0.28038138151168823
132,-0.27591,-0.334094762802124
133,-0.29676,-0.219150573015213
134,-0.30984,-0.18646018207073212
135,-0.31725,-0.3014499545097351
136,-0.32346,-0.3392910957336426
137,-0.33287,-0.3653564453125
138,-0.35116,-0.26925626397132874
139,-0.38387,-0.4548540711402893
140,-0.43049,-0.5453422665596008
141,-0.48365,-0.5500232577323914
142,-0.53542,-0.5058428049087524
143,-0.57636,-0.6721747517585754
144,-0.59528,-0.5794842839241028
145,-0.5863,-0.7511390447616577
146,-0.54405,-0.5893099308013916
147,-0.46871,-0.710106372833252
148,-0.3709,-0.3617731034755707
149,-0.26881,-0.21152307093143463
150,-0.17513,-0.18771138787269592
151,-0.097,-0.13245157897472382
152,-0.04032,-0.08133283257484436
153,-0.00405,-0.0029885643161833286
154,0.01776,0.03149070218205452
155,0.02917,0.06101526692509651
156,0.03345,0.01582619734108448
157,0.03862,0.10671812295913696
158,0.05594,0.07196298241615295
159,0.10103,0.10136614739894867
160,0.18199,0.17659559845924377
161,0.29229,0.2957395911216736
162,0.41892,0.42775025963783264
163,0.54016,0.5201792120933533
164,0.63037,0.6562626361846924
165,0.67377,0.7028511762619019
166,0.67184,0.7379392981529236
167,0.63744,0.6327965259552002
168,0.58924,0.5764337778091431
169,0.54775,0.5544077754020691
170,0.52388,0.5807217359542847
171,0.52238,0.5825766324996948
172,0.54496,0.563256561756134
173,0.58695,0.5785742402076721
174,0.63678,0.6054236888885498
175,0.68218,0.6828984022140503
176,0.70952,0.6124643087387085
177,0.71073,0.7610295414924622
178,0.69352,0.7271949648857117
179,0.66847,0.7057189345359802
180,0.64191,0.6472960114479065
181,0.62501,0.584737241268158
182,0.62771,0.5240517854690552
183,0.65017,0.5913565158843994
184,0.68626,0.6514454483985901
185,0.72986,0.675487220287323
186,0.77064,0.7273156046867371
187,0.7939,0.7851527333259583
188,0.79017,0.8025814890861511
189,0.75706,0.8912369012832642
190,0.69805,0.7226414680480957
191,0.62006,0.6515627503395081
192,0.52802,0.5572994351387024
193,0.4277,0.41737934947013855
194,0.33076,0.34382396936416626
195,0.24814,0.2548893392086029
196,0.19504,0.20221851766109467
197,0.1904,0.19004152715206146
198,0.23678,0.1524447500705719
199,0.3213,0.23295311629772186
200,0.42424,0.34717923402786255
201,0.52482,0.4519853889942169
202,0.60404,0.5548444986343384
203,0.64837,0.5815702676773071
204,0.65609,0.6915051341056824
205,0.63523,0.6974443197250366
206,0.60078,0.586162269115448
207,0.56768,0.5640101432800293
208,0.5477,0.5837884545326233
209,0.54797,0.5133809447288513
210,0.56741,0.522299587726593
211,0.596,0.5594102144241333
212,0.62413,0.6618521213531494
213,0.64587,0.6646838784217834
214,0.65385,0.6171793937683105
215,0.64376,0.7114044427871704
216,0.62031,0.6202296018600464
217,0.58933,0.623177170753479
218,0.54893,0.5157671570777893
219,0.49713,0.5232667922973633
220,0.43562,0.4204535484313965
221,0.36486,0.4077237546443939
222,0.2851,0.3234075605869293
223,0.19827,0.2526642084121704
224,0.11052,0.1855684220790863
225,0.03688,0.09679807722568512
226,-0.00544,0.03689466416835785
227,-0.01017,0.025640415027737617
228,0.01625,0.03274616599082947
229,0.05475,0.0011394958710297942
230,0.08538,0.11964237689971924
231,0.10037,0.11758532375097275
232,0.10233,0.18129666149616241
233,0.09493,0.11381698399782181
234,0.08552,0.12325801700353622
235,0.0854,0.07461679726839066
236,0.1012,0.1190270483493805
237,0.13065,0.08253338187932968
238,0.16957,0.17306186258792877
239,0.21766,0.2176544964313507
240,0.27755,0.2877243161201477
241,0.34682,0.33345499634742737
242,0.41397,0.40910524129867554
243,0.4673,0.4839102625846863
244,0.508,0.5001136064529419
245,0.54569,0.5568224787712097
246,0.59734,0.585722029209137
247,0.674,0.587473452091217
248,0.77176,0.6843804121017456
249,0.87258,0.7662085890769958
250,0.9568,0.8854391564285758
251,1.01553,0.9265257872891429
252,1.04788,1.0090505009633306
253,1.05687,1.0487739783096317
254,1.04456,0.8284815586912635
255,1.01353,0.8034507840597632
256,0.96592,0.614486405539513
257,0.90352,0.507926886981726
258,0.82569,0.36008254915237453
259,0.7336,0.18864373502850554
260,0.63613,0.1191473955309393
261,0.54251,0.030155122565627274
262,0.46064,-0.04785618252456172
263,0.39061,-0.1559073445872961
264,0.32704,-0.151291598124951
265,0.26176,-0.2837343690845369
266,0.18578,-0.681299997178018
267,0.09277,-0.6387762570622563
268,-0.01754,-0.6012871837571263
269,-0.13908,-0.6860269205272197
270,-0.26406,-1.005551969383061
271,-0.38633,-1.1079469363716246
272,-0.5016,-0.9970886592805386
273,-0.6041,-1.2230549925360084
