Index,Real1,Predict1
0,-5.10612,
1,-4.34021,
2,-3.60437,
3,-2.93537,
4,-2.33557,
5,-1.73365,
6,-0.86143,
7,-0.43542,
8,-0.35345,
9,-0.46001,
10,-0.52162,
11,-0.47163,
12,-0.36084,
13,-0.30659,
14,-0.41545,
15,-0.64815,
16,-0.99407,
17,-1.55514,
18,-2.27334,
19,-2.85134,
20,-3.05046,
21,-2.86437,
22,-2.47732,
23,-2.05166,
24,-1.56489,
25,-0.88451,-0.8470567464828491
26,-0.0926,-0.1941390335559845
27,0.53196,0.20545229315757751
28,0.88754,1.073836326599121
29,1.172,1.0051822662353516
30,1.5342,1.2331643104553223
31,1.85066,2.192427158355713
32,1.99666,1.5577352046966553
33,1.96826,2.0354042053222656
34,1.77393,1.3484690189361572
35,1.3569,1.5754557847976685
36,0.79605,0.8992931246757507
37,0.23335,0.2454262375831604
38,-0.17899,-0.38159337639808655
39,-0.31205,-0.379313588142395
40,-0.3031,-0.40343570709228516
41,-0.33089,-0.16746701300144196
42,-0.29956,-0.6562113165855408
43,-0.10958,-0.26847320795059204
44,0.14779,0.09536124765872955
45,0.32792,0.25768375396728516
46,0.3706,0.6425477266311646
47,0.36185,0.7653247117996216
48,0.42358,0.21077559888362885
49,0.65425,0.17335239052772522
50,0.94103,1.0664037466049194
51,1.10817,1.369688630104065
52,1.12404,1.0842255353927612
53,1.04845,1.137895107269287
54,0.91426,1.2549452781677246
55,0.74637,0.7569515109062195
56,0.45425,0.33840087056159973
57,0.14031,0.16667093336582184
58,-0.06057,-0.26672980189323425
59,-0.14382,-0.21985934674739838
60,-0.13662,-0.36809542775154114
61,-0.1285,-0.30630114674568176
62,-0.17347,-0.1400354951620102
63,-0.31496,-0.2395789623260498
64,-0.63921,-0.7330123782157898
65,-1.07503,-0.6840792894363403
66,-1.54558,-1.6023828983306885
67,-1.94428,-2.02146577835083
68,-2.20533,-2.1789731979370117
69,-2.42111,-2.361391305923462
70,-2.48892,-2.361142158508301
71,-2.40153,-2.4729387760162354
72,-2.31842,-2.4002432823181152
73,-2.34837,-2.3853437900543213
74,-2.52217,-2.4337615966796875
75,-2.73822,-2.6319620609283447
76,-2.91176,-2.8399674892425537
77,-3.11524,-2.9858689308166504
78,-3.33361,-3.115281581878662
79,-3.48382,-3.466306686401367
80,-3.51618,-3.5720300674438477
81,-3.5292,-3.300408363342285
82,-3.55614,-3.0866763591766357
83,-3.55632,-3.258078098297119
84,-3.53642,-3.237522840499878
85,-3.64679,-3.724268913269043
86,-3.91758,-3.9944539070129395
87,-4.21778,-3.8086206912994385
88,-4.34738,-4.377537250518799
89,-4.27215,-4.414107799530029
90,-4.17074,-4.3100056648254395
91,-4.13933,-3.964749336242676
92,-3.93166,-3.6263811588287354
93,-3.39196,-3.6328094005584717
94,-2.76099,-2.8073275089263916
95,-2.25653,-2.3444833755493164
96,-1.8649,-1.8151886463165283
97,-1.48082,-1.4730230569839478
98,-0.99024,-1.1217479705810547
99,-0.4511,-0.6588869094848633
100,0.0503,0.011275446381568598
101,0.31177,-0.0773868682885173
102,0.171,0.44832935510039296
103,-0.14135,0.2598780129635331
104,-0.52376,0.3093851535058018
105,-0.86168,-0.18069993339777024
106,-1.20566,-0.550308570994139
107,-1.71139,-0.8339449149656298
108,-2.19373,-0.9719031141972545
109,-2.33537,-1.1421864419913295
110,-2.16289,-1.0952473951947692
111,-1.99083,-0.7569588326573374
112,-2.0115,-0.5952917006945613
113,-1.98193,-0.5411195708703997
114,-1.80545,-0.5721898643088343
115,-1.55605,-0.2773899753355983
116,-1.50687,0.05960522643804519
117,-2.06301,0.5154744649195668
118,-2.70204,0.11157165754556625
119,-3.33608,0.8128238198566433
120,-3.99201,1.1173948271369931
121,-4.69534,1.2307093176746364
122,-5.4597,1.4857515931200977
123,,1.2931902849292751
124,,1.6876433032333846
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
