Index,Real1,Predict1
0,-1.54085,
1,-1.61591,
2,-1.68093,
3,-1.73724,
4,-1.78772,
5,-1.83696,
6,-1.88907,
7,-1.94607,
8,-2.00913,
9,-2.07727,
10,-2.1386,
11,-2.13605,
12,-1.9433,
13,-1.67484,
14,-1.38132,
15,-1.1186,
16,-0.91375,
17,-0.76429,
18,-0.67061,
19,-0.61961,
20,-0.55681,
21,-0.4479,
22,-0.29427,
23,-0.11456,
24,0.0517,
25,0.16893,0.2584215998649597
26,0.22767,0.289878249168396
27,0.25135,0.24975994229316711
28,0.24427,0.2386050969362259
29,0.21522,0.20937399566173553
30,0.18944,0.04863721504807472
31,0.17555,0.14366093277931213
32,0.16643,0.02418545074760914
33,0.1395,0.11722535640001297
34,0.07198,-0.1314908117055893
35,-0.04249,-0.01715421862900257
36,-0.20356,-0.2710111141204834
37,-0.40299,-0.4355950355529785
38,-0.61583,-0.5604240298271179
39,-0.82019,-0.8290917277336121
40,-1.00443,-0.9840942025184631
41,-1.17729,-1.1678062677383423
42,-1.33017,-1.234629511833191
43,-1.44373,-1.4299893379211426
44,-1.51491,-1.5244427919387817
45,-1.53254,-1.5376503467559814
46,-1.4967,-1.499587059020996
47,-1.42118,-1.3987535238265991
48,-1.33818,-1.3633042573928833
49,-1.26656,-1.2149192094802856
50,-1.21249,-1.185194730758667
51,-1.18246,-1.1111994981765747
52,-1.17128,-1.1481207609176636
53,-1.16142,-1.1532667875289917
54,-1.13036,-1.1003438234329224
55,-1.06447,-1.0131163597106934
56,-0.97672,-0.9358553290367126
57,-0.88334,-0.8621829748153687
58,-0.8027,-0.7987469434738159
59,-0.74838,-0.7279945015907288
60,-0.71283,-0.6443154215812683
61,-0.67585,-0.7159969806671143
62,-0.62473,-0.687819242477417
63,-0.57469,-0.5344900488853455
64,-0.56071,-0.4904429018497467
65,-0.58473,-0.5063843131065369
66,-0.6367,-0.5350266695022583
67,-0.70866,-0.6022519469261169
68,-0.79039,-0.7428569197654724
69,-0.8589,-0.8193994164466858
70,-0.90907,-0.8907833099365234
71,-0.94305,-0.9553972482681274
72,-0.95818,-0.9207606911659241
73,-0.96255,-0.9675928354263306
74,-0.97008,-0.9376122355461121
75,-0.99452,-0.9964627623558044
76,-1.04987,-1.0331772565841675
77,-1.12641,-1.1218483448028564
78,-1.2102,-1.2019542455673218
79,-1.28935,-1.3039499521255493
80,-1.35002,-1.3517744541168213
81,-1.36831,-1.339923620223999
82,-1.32198,-1.3317188024520874
83,-1.22626,-1.2649191617965698
84,-1.10695,-1.1141201257705688
85,-1.00276,-1.093629240989685
86,-0.97504,-0.9668294787406921
87,-1.03381,-1.0208842754364014
88,-1.13982,-1.1329505443572998
89,-1.23094,-1.2396219968795776
90,-1.2506,-1.252296805381775
91,-1.17282,-1.1396528482437134
92,-1.02358,-1.0466228723526
93,-0.87319,-0.8084432482719421
94,-0.79159,-0.7117512226104736
95,-0.81249,-0.768682062625885
96,-0.92653,-0.8884207606315613
97,-1.08403,-1.0678880214691162
98,-1.23527,-1.1926610469818115
99,-1.31315,-1.2506887912750244
100,-1.24281,-1.2462280988693237
101,-1.02078,-1.0283637046813965
102,-0.71299,-0.819351077079773
103,-0.41484,-0.4196266531944275
104,-0.19022,-0.16615788638591766
105,-0.05787,-0.0021008197218179703
106,0.01078,0.09342126548290253
107,0.07354,-0.0067032575607299805
108,0.16216,0.13103114068508148
109,0.283,0.13183236122131348
110,0.42637,0.4823634922504425
111,0.56145,0.5589227676391602
112,0.66062,0.6580327749252319
113,0.69959,0.6325585842132568
114,0.66069,0.6898706555366516
115,0.56287,0.4522329866886139
116,0.43756,0.3844020366668701
117,0.32823,0.43336954712867737
118,0.28041,0.023248136043548584
119,0.31368,0.20420090854167938
120,0.40604,0.49122437834739685
121,0.50051,0.5998373627662659
122,0.56048,0.4994775652885437
123,0.56962,0.5180987119674683
124,0.52847,0.4981916844844818
125,0.45724,0.5283098220825195
126,0.38095,-0.0395028218626976
127,0.32151,0.39160600304603577
128,0.29131,0.3742092549800873
129,0.28498,0.33377304673194885
130,0.28486,0.3319043517112732
131,0.26931,0.34384989738464355
132,0.22709,0.09028937667608261
133,0.15621,0.2954689562320709
134,0.06968,0.09291054308414459
135,-0.00036,-0.07618876546621323
136,-0.03213,0.0995497778058052
137,-0.01894,-0.05190899223089218
138,0.03589,0.055403243750333786
139,0.11684,0.07219923287630081
140,0.20697,0.08870895951986313
141,0.29175,0.10429322719573975
142,0.36523,0.1969866305589676
143,0.42208,0.41227397322654724
144,0.45498,0.4595324397087097
145,0.4458,0.6231224536895752
146,0.37705,0.49402904510498047
147,0.26246,0.43726101517677307
148,0.13364,0.27942946553230286
149,0.01991,0.04890332743525505
150,-0.0605,0.04546927288174629
151,-0.10359,-0.01396833173930645
152,-0.12528,-0.23046623170375824
153,-0.15873,-0.1505306214094162
154,-0.23109,-0.24872854351997375
155,-0.33858,-0.1572204828262329
156,-0.46008,-0.4722267985343933
157,-0.57734,-0.5371311902999878
158,-0.68557,-0.669333279132843
159,-0.78569,-0.746860921382904
160,-0.8963,-0.8758485317230225
161,-1.03549,-1.0332616567611694
162,-1.20367,-1.1904709339141846
163,-1.41185,-1.412992238998413
164,-1.65277,-1.6462384462356567
165,-1.89305,-1.9241901636123657
166,-2.0735,-2.0710766315460205
167,-2.14049,-2.160823106765747
168,-2.09754,-2.080205202102661
169,-1.97266,-1.873252511024475
170,-1.79881,-1.623003767726421
171,-1.60268,-1.4458464728713032
172,-1.40374,-1.246497582736015
173,-1.22456,-1.1096186448454854
174,-1.07071,-1.0005004247808453
175,-0.93935,-0.9540988854169842
176,-0.84797,-0.9003240163826939
177,-0.82335,-0.7336578016877171
178,-0.88017,-0.629418287696838
179,-1.01634,-0.4656809894657131
180,-1.21949,-0.2875537089824673
181,-1.45955,-0.3087813281440731
182,-1.68907,-0.2164371728086468
183,-1.87243,-0.22719893482208217
184,-1.97812,-0.3109626954746243
185,-1.98785,-0.289576966962814
186,-1.91471,-0.3068308614063259
187,-1.79956,-0.2559431808328625
188,-1.68377,-0.09752285966873134
189,-1.57961,-0.08972877968788112
190,-1.4934,0.09090844440937078
191,-1.44146,0.21782674715995823
192,-1.45621,0.2603728898954395
193,-1.56983,0.44889272843837774
194,-1.78454,0.4064919989061359
195,-2.09777,0.36592848648071324
196,-2.50418,0.34763333870410956
197,-2.97759,0.09147198405265844
198,-3.46198,0.14295756850719488
199,-3.88425,-0.019002607712745315
200,-4.19387,0.027168031058311816
201,-4.37863,-0.21562783576011624
202,-4.44358,-0.20697481911659205
203,-4.39879,-0.386052109956741
204,-4.12437,-0.4977951314449307
205,-3.93209,-0.6120465730094906
206,-3.75853,-0.6964300749158856
207,-3.57638,-0.8989021325635906
208,-3.37711,-0.9798980485367772
209,-3.16013,-1.2161956041336055
210,-2.92976,
211,-2.69167,
212,-2.45124,
213,-2.21286,
214,-1.98132,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
